m,x,y,z,vx,vy,vz
0.0,-26639433422.383453,150430014813.7642,-1382358905.555045,-36448.025521195734,7185.488095427546,-2161.8165333483453
0.0,-26595247497.01048,150421299129.98624,-1379738980.9549422,-36449.23763465622,7192.294732009321,-2161.882533674004
0.0,-26613866965.85185,150424970316.88608,-1380841750.9993021,-36448.72757505168,7189.425453133547,-2161.855377616204
0.0,-26546524920.289654,150411682171.94986,-1376850431.4955828,-36450.571770384515,7199.802488011415,-2161.9549724208723
0.0,-26654717402.741226,150433023084.8026,-1383263761.8468215,-36447.60678011681,7183.133148325666,-2161.793224043775
0.0,-26586173485.957615,150419506373.2403,-1379199689.5933793,-36449.48692636892,7193.691385279056,-2161.895825093748
0.0,-26595155353.808754,150421283219.06754,-1379733599.9443476,-36449.2400280566,7192.307777680553,-2161.8828538127887
0.0,-26488926488.120758,150400306618.00732,-1373437824.0275009,-36452.14559753222,7208.679904133554,-2162.0396270219026
0.0,-26594262193.667404,150421107297.48346,-1379681628.7153363,-36449.26434672334,7192.446210365169,-2161.8833262637004
0.0,-26528520696.23172,150408129372.97766,-1375784190.2283022,-36451.06391180716,7202.576442672762,-2161.981585055608
0.0,-26589053569.88859,150420077027.28998,-1379371784.8373513,-36449.40738359043,7193.248788761258,-2161.8922787657684
0.0,-26530059034.880817,150408436222.212,-1375877081.5825524,-36451.02164547796,7202.338444864859,-2161.9779748579613
0.0,-26560871218.442173,150414518260.02985,-1377701488.8493788,-36450.17916376293,7197.588945823965,-2161.933547225986
0.0,-26595752313.750122,150421398483.88882,-1379769320.8208716,-36449.22401738066,7192.2158117443205,-2161.882536048188
0.0,-26560592265.766804,150414466444.17456,-1377686072.8071346,-36450.18620841556,7197.632272945825,-2161.934359417781
0.0,-26538140364.681328,150410031218.10492,-1376355483.4515336,-36450.800228633445,7201.095406560555,-2161.9676701337485
0.0,-26551150083.656414,150412597169.6355,-1377124956.263957,-36450.44514160345,7199.088829076621,-2161.9478639042504
0.0,-26556007025.757275,150413557351.6835,-1377413005.174976,-36450.3123067148,7198.339074558586,-2161.9403726551086
0.0,-26577477838.8967,150417794311.77975,-1378685660.3584983,-36449.72433029524,7195.03218514833,-2161.9086593095894
0.0,-26577264610.878544,150417754596.13492,-1378674391.7483282,-36449.72972364078,7195.06574957888,-2161.9080028427393
0.0,-26605810974.357418,150423389462.47174,-1380367421.7649763,-36448.947477611015,7190.665575195294,-2161.866087648533
0.0,-26633740351.76705,150428888921.79816,-1382020017.1775823,-36448.18234337894,7186.3647365725255,-2161.82529682956
0.0,-26570658814.653145,150416452878.2026,-1378283224.1558216,-36449.91084351256,7196.0809189659285,-2161.9177877961824
0.0,-26546051936.378677,150411594539.6323,-1376824421.962236,-36450.58372650277,7199.876137497089,-2161.954796203425
